"D150_4_POOLED","PCTFLOAN","DEBT_MDN","GRAD_DEBT_MDN","WDRAW_DEBT_MDN","LO_INC_DEBT_MDN","MD_INC_DEBT_MDN","HI_INC_DEBT_MDN","DEP_DEBT_MDN","IND_DEBT_MDN","PELL_DEBT_MDN","NOPELL_DEBT_MDN","FEMALE_DEBT_MDN","MALE_DEBT_MDN","FIRSTGEN_DEBT_MDN","NOTFIRSTGEN_DEBT_MDN","DEBT_N","GRAD_DEBT_N","WDRAW_DEBT_N","LO_INC_DEBT_N","MD_INC_DEBT_N","HI_INC_DEBT_N","DEP_DEBT_N","IND_DEBT_N","PELL_DEBT_N","NOPELL_DEBT_N","FEMALE_DEBT_N","MALE_DEBT_N","FIRSTGEN_DEBT_N","NOTFIRSTGEN_DEBT_N","GRAD_DEBT_MDN10YR","CUML_DEBT_N","CUML_DEBT_P90","CUML_DEBT_P75","CUML_DEBT_P25","CUML_DEBT_P10","LOAN_EVER","DEBT_MDN_SUPP","GRAD_DEBT_MDN_SUPP","GRAD_DEBT_MDN10YR_SUPP"
"1230","0.6249","19582","25803","10750","21545","18697","19598.5","19500","20399","21590","18244","20500","18625","20123.5","19500","1960","1078","884","542","554","864","1569","391","987","973","1295","665","750","1210","264.81387726335","1960","35348.5","27000","9715","5500","0.912426036","19582","25803","264.81387726335"
"739","0.6628","25106.5","27000","7070.5","25895","26950","24500","PrivacySuppressed","PrivacySuppressed","26950","24962","26743","23250","25990","25000","602","436","168","70","129","403","PrivacySuppressed","PrivacySuppressed","177","425","369","233","132","470","277.098581021992","602","27000","27000","12000","5500","0.976699029","25106.5","27000","277.098581021992"
"865","0.6466","21500","27000","10500","21500","25675.5","19659","21500","18750","23700","18791","22125","19482","22183.5","21000","822","482","345","189","224","409","771","51","381","441","453","369","236","586","277.098581021992","822","33250","28488","10750","5500","0.929238985","21500","27000","277.098581021992"
"NULL","0.1437","3500","7000","3500","3500","3500","3500","3500","4235.5","3500","3500","3500","3500","3500","3500","744","183","564","324","217","203","438","306","433","311","500","244","330","414","71.8403728575536","744","11250","6750","2000","1750","0.204359673","3500","7000","71.8403728575536"
"NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"1","0.4426","9665","18450","5340","6037","10891","13916","12907.5","9500","10644","8084","9179","10700","10821","7235.5","463","190","278","154","218","91","46","417","246","217","332","131","253","210","189.350697031694","463","34842","21540","3309","1219","0.853763441","9665","18450","189.350697031694"
"761","0.848","19750","27000","9500","21459","20000","17500","17500","25000","21750","15750","22828.5","14875","20625","19400","1072","531","545","459","294","319","775","297","708","364","618","454","426","646","277.098581021992","1072","37500","29292","9500","4750","0.971904266","19750","27000","277.098581021992"
"912","0.1613","10500","11706","5681","3932.5","12000","12500","PrivacySuppressed","PrivacySuppressed","7500","12500","10100","11125.5","7500","11517","275","239","36","56","62","157","264","11","116","159","131","144","40","235","120.137629238646","275","25889","19500","5500","2272","0.471794872","10500","11706","120.137629238646"
"NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"503","0.7725","17500","25361","9500","18220","16754.5","17908","20363","15068","19529","15466","19000","15466","17236","18097","795","377","422","219","242","334","570","225","417","378","445","350","320","475","260.277670862916","795","33000","27000","8000","4677","0.980030722","17500","25361","260.277670862916"
"NULL","0.7083","9500","PrivacySuppressed","PrivacySuppressed","9500","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","9500","9500","55","PrivacySuppressed","10","28","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","43","12","PrivacySuppressed","PrivacySuppressed","24","31","PrivacySuppressed","55","PrivacySuppressed","9500","5500","PrivacySuppressed","PrivacySuppressed","9500","PrivacySuppressed","PrivacySuppressed"
"1200","0.7268","25272.5","27000","8750","23685","25781.5","25695","26000","18000","26113","25000","25813","24770","25813","25000","1170","805","367","223","254","693","1051","119","436","734","725","445","281","889","277.098581021992","1170","32279","27000","12000","5500","0.978011472","25272.5","27000","277.098581021992"
"916","0.3727","26000","27000","12000","25188","25500","26000","25883","29250","26000","25000","25000","26000","27000","25250","521","450","72","122","122","277","502","19","223","298","230","291","96","425","277.098581021992","521","32000","27000","15000","6574","0.90625","26000","27000","277.098581021992"
"NULL","0.4217","7600","PrivacySuppressed","PrivacySuppressed","7600","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","7600","7600","PrivacySuppressed","PrivacySuppressed","7600","7600","57","PrivacySuppressed","PrivacySuppressed","31","16","10","13","44","35","22","PrivacySuppressed","PrivacySuppressed","24","33","PrivacySuppressed","57","PrivacySuppressed","7600","7549","PrivacySuppressed","PrivacySuppressed","7600","PrivacySuppressed","PrivacySuppressed"
"46","0.6429","18250","26750.5","8750","PrivacySuppressed","19500","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","14750","20000","PrivacySuppressed","PrivacySuppressed","44","22","22","11","22","11","PrivacySuppressed","PrivacySuppressed","30","14","23","21","18","26","274.537984875141","44","PrivacySuppressed","27000","8750","PrivacySuppressed","PrivacySuppressed","18250","PrivacySuppressed","PrivacySuppressed"
"373","0.9115","18065","22878.5","12250","15758","20118","18750","20000","17543","18309","17875","PrivacySuppressed","PrivacySuppressed","18102.5","18030","1305","692","632","548","441","316","434","871","858","447","PrivacySuppressed","PrivacySuppressed","630","675","234.799995774505","1305","34338","27000","9855","4718","0.967272727","18065","22878.5","234.799995774505"
"575","0.8242","16646","25000","9500","19019.5","17500","12500","15250","19510","19000","13853","17500","14750","17250","16250","1027","455","577","538","259","230","572","455","653","374","764","263","446","581","256.572760205548","1027","40038","27000","7537","3500","0.926060606","16646","25000","256.572760205548"
"NULL","0.4749","8750","8978.5","4977.5","8506","PrivacySuppressed","PrivacySuppressed","7000","9194.5","8510.5","14750","PrivacySuppressed","PrivacySuppressed","9439","8506","139","120","22","92","35","12","23","116","116","23","PrivacySuppressed","PrivacySuppressed","80","59","92.1455411002207","139","14750","11396","6563","3500","0.847826087","8750","8978.5","92.1455411002207"
"734","0.836","16750","26000","14250","16986.5","15833.5","17500","16000","19000","18250","15250","17250","16000","17859","16000","1233","195","1038","434","334","465","850","383","689","544","737","496","484","749","266.83567061377","1233","34750","27000","8000","4750","0.943979933","16750","26000","266.83567061377"
"1898","0.4996","26000","27000","15401","26500","27000","25000","26000","28250","27000","24874","26447","25215","26673","25988","1408","1168","242","229","307","872","1351","57","486","922","593","815","262","1146","277.098581021992","1408","33500","28000","16849","7500","0.968543046","26000","27000","277.098581021992"
"1303","0.3903","18500","26374.5","12000","19000","19250","17750","18500","17750","21000","15250","19250","18250","17500","18625","1587","558","1034","411","381","795","1397","190","722","865","510","1077","295","1292","270.679130561649","1587","33750","27000","8250","4750","0.946181818","18500","26374.5","270.679130561649"
"NULL","0.3991","7000","11450","5300","7496","6075.5","5500","5257.5","9500","7124","5507.5","7000","6098","7090.5","6500","997","259","739","572","272","153","482","515","751","246","643","354","474","523","117.510324174141","997","25050","13875","3500","1750","0.428571429","7000","11450","117.510324174141"
"NULL","0.6124","7193.5","9833","4750","7000","8100","8039.5","8022","7000","7000","7999","7167","7717","7187.5","7215.5","2250","1292","989","1713","361","176","937","1313","1923","327","2085","165","1208","1042","100.915198044046","2250","13700","10667","4196","2560.5","0.833850494","7193.5","9833","100.915198044046"
"138","0.4983","31000","46801.5","21425","33480","31126.5","25500","26750","36347","34642.5","20000","28737","31250","31000","31001.5","269","100","169","116","80","73","161","108","184","85","84","185","85","184","480.319601470399","269","54562","48625","15478","5500","0.894736842","31000","46801.5","480.319601470399"
"NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4554","0.3903","19000","19000","10000","19167","19500","19000","19000","17676","20000","19000","19000","19000","19000","19000","2544","2274","271","411","620","1513","2494","50","901","1643","1408","1136","357","2187","194.995297756216","2544","24000","21000","13000","5500","0.968780019","19000","19000","194.995297756216"
"279","0.5138","24250","27000","12000","27000","20000","23500","PrivacySuppressed","PrivacySuppressed","27000","20373.5","25500","23000","26119.5","23500","184","111","74","24","43","117","PrivacySuppressed","PrivacySuppressed","68","116","115","69","20","164","277.098581021992","184","31000","27000","12000","5500","PrivacySuppressed","24250","27000","277.098581021992"
"8275","0.3981","25000","27000","13000","25000","26257.5","24800","25343","19482.5","27000","23500","25000","25000","25500","25000","5103","4022","1085","885","1180","3038","4877","226","1849","3254","3225","1878","795","4308","277.098581021992","5103","33500","30000","14750","6000","0.930700095","25000","27000","277.098581021992"
"1455","0.5061","26750","27000","12000","27000","27000","25550","26900","14799.5","27038","25000","27000","25000","26438","26784","1189","968","221","253","295","641","1159","30","493","696","685","504","169","1020","277.098581021992","1189","32964","30000","17000","6500","0.942482341","26750","27000","277.098581021992"
"3015","0.5402","18250","24500","9500","17250","18750","18500","18250","18000","19500","15780","18750","17070","19450","17250","5184","2757","2434","1468","1424","2292","4299","885","2635","2549","3169","2015","1965","3219","251.441305001437","5184","31442","27000","8037","4500","0.908568905","18250","24500","251.441305001437"
"NULL","0.2392","3500","6194","3000","1900","3950","5500","4400","2607","2400","5500","3225","3982","3200","3850","3066","827","2245","1108","999","959","1986","1080","1670","1396","1863","1203","1551","1515","63.5684670685267","3066","11400","7400","1600","800","0.364206923","3500","6194","63.5684670685267"
"NULL","0.8994","19500","20000","9500","20000","18500","16500","12000","20000","20000","16000","20000","16000","19743","16125","277","169","109","124","86","67","62","215","149","128","250","27","141","136","205.258208164438","277","40000","21750","10500","5500","PrivacySuppressed","19500","20000","205.258208164438"
"NULL","0.0779","5211","8455","4750","5000","5298","5500","4000","6497","5000","5500","5458","5000","5000","5250","1633","336","1299","861","493","279","705","928","961","672","873","760","827","806","86.7729075015165","1633","18000","10038","2750","1500","0.114977728","5211","8455","86.7729075015165"
"299","0.4962","15984.5","21255","10667","16046","17709","13989","7500","17771.5","17847","12500","16745.5","13709","16110","15686.5","668","256","415","383","213","72","76","592","485","183","514","154","368","300","218.138160726757","668","38812","26834","7000","3500","0.719934102","15984.5","21255","218.138160726757"
"NULL","0.1044","5500","9500","4750","6000","4225","5500","4700","7245","6000","5000","5500","5500","5485","5500","674","197","477","320","148","206","319","355","378","296","428","246","256","418","97.4976488781084","674","19000","10500","2750","1500","0.212320574","5500","9500","97.4976488781084"
"NULL","0.5979","5097","5645","2641","4401","6128","5500","5499","5044","5059.5","5499","PrivacySuppressed","PrivacySuppressed","4598","5502","273","229","44","151","67","55","99","174","150","123","PrivacySuppressed","PrivacySuppressed","121","152","57.9341292544128","273","9500","7554","3167","2200","0.93115942","5097","5645","57.9341292544128"
"51","0.8095","19000","24250","12250","20000","17375","19000","15750","19000","20000","17500","19000","10062.5","19000","18250","471","214","261","214","167","90","98","373","237","234","417","54","207","264","248.875577399382","471","35640","29375","9500","5500","0.957854406","19000","24250","248.875577399382"
"1158","0.5576","23798","27000","9500","24245","23500","23617","24250","12500","26000","21625","25000","22670","25493","23251","943","671","272","163","273","507","898","45","395","548","526","417","150","793","277.098581021992","943","29950","27000","12000","5500","0.941317365","23798","27000","277.098581021992"
"NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"1227","0.6406","18500","26000","8750","18500","20000","16125.5","18500","18420","19633","15750","19000","15302","19733.5","16166","1631","827","807","434","443","754","1138","493","729","902","1053","578","558","1073","266.83567061377","1631","30750","27000","8000","4750","0.963210702","18500","26000","266.83567061377"
"NULL","0.8295","8531","9500","4658","8512.5","9180","7000","7145","8919.5","8708","6989","8615.5","8036","8406.5","8658","7179","5118","2117","5228","1378","573","2751","4428","5923","1256","5402","1777","4118","3061","97.4976488781084","7179","16416","10894","4554","1750","0.863373958","8531","9500","97.4976488781084"
"1059","0.6623","9500","17184.5","6500","9500","10101","9750","10000","9500","10158","9500","12000","9285","9500","9500","862","312","550","284","228","350","791","71","472","390","354","508","275","587","176.362983910089","862","26000","16000","5500","3250","0.974557522","9500","17184.5","176.362983910089"
"NULL","0.6737","8663","9500","2750","9500","PrivacySuppressed","PrivacySuppressed","5500","9500","8533","9000","PrivacySuppressed","PrivacySuppressed","8014","9376.5","109","91","19","69","28","12","34","75","80","29","97","12","65","44","97.4976488781084","109","9500","9500","4864","2750","PrivacySuppressed","8663","9500","97.4976488781084"
"NULL","0.8296","13666","19139.5","5705","16186","13666","13124.5","13666","16777","15970","13666","16961","13666","13928","13666","278","186","94","175","69","34","129","149","212","66","19","259","126","152","196.426973758163","278","22777","21694","8000","3500","0.843333333","13666","19139.5","196.426973758163"
"343","0.4989","15750","24362","10500","12250","18581","17962","17369.5","12500","15750","15750","15000","16856","15728.5","15750","638","275","364","235","206","197","404","234","405","233","404","234","224","414","250.025023365102","638","32300","26966","7150","4949","0.854736842","15750","24362","250.025023365102"
"1614","0.5741","23000","24000","9500","23250","24250","21500","23000","23000","25500","20500","22687.5","23250","23250","22974.5","1436","1166","270","255","315","866","1373","63","485","951","922","514","198","1238","246.309849797326","1436","29000","27000","14000","5500","0.97583511","23000","24000","246.309849797326"
"1062","0.6751","23250","27000","9482","23296","26000","21500","23500","13913","26250","21000","23250","23250","24809","23250","1091","647","444","193","263","635","1028","63","409","682","808","283","287","804","277.098581021992","1091","31750","27000","9500","5500","0.966773848","23250","27000","277.098581021992"
"1092","0.6325","22500","27000","5500","22500","22500","22374","23500","10500","25000","20896","23261","20375","23500","22000","1237","881","359","181","257","799","1144","93","376","861","793","444","229","1008","277.098581021992","1237","28000","27000","9250","4750","0.929457364","22500","27000","277.098581021992"
"NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"NULL","0.625","6958.5","7269","3690","6996","PrivacySuppressed","PrivacySuppressed","5500","7067","PrivacySuppressed","PrivacySuppressed","5500","7183","6935","6994","128","79","49","102","13","13","47","81","113","15","66","62","80","48","74.6010957573653","128","9500","9500","3690","2691","0.853146853","6958.5","7269","74.6010957573653"
"507","0.7855","8250","18566.5","5500","6751","9205","10500","10500","5966","7974","8969","7830","9500","7747.5","9190","1437","408","1057","748","433","256","714","723","1059","378","1048","389","752","685","190.546326094252","1437","26000","16315","3910","1750","0.887511072","8250","18566.5","190.546326094252"
"1461","0.7053","15000","22650","7500","12701","16318.5","15175","15750","11726","15000","15000","15085","14613","15046","15000","2167","1093","1080","594","634","939","1822","345","1119","1048","1257","910","843","1324","232.454920746227","2167","29689","25000","6400","3500","0.94281452","15000","22650","232.454920746227"
"1277","0.6431","15704","23979","7762.5","13792","16750","16000","16138.5","12500","17000","14385","16066.5","14750","16250","15106","2233","1148","1088","563","605","1065","1918","315","1061","1172","1502","731","798","1435","246.094328678753","2233","30600","26000","6250","3650","0.928399808","15704","23979","246.094328678753"
"447","0.7801","10187.5","12000","5750","10000","11998","9375","11000","9500","11000","9250","10500","10187.5","9999.5","11000","506","259","247","317","123","66","357","149","417","89","48","458","258","248","123.154924898663","506","25000","16000","5500","3396","0.882917466","10187.5","12000","123.154924898663"
"873","0.693","23250","27000","12000","21400","26431","22350","23250","21400","25350","20500","23000","23250","24250","23000","778","452","330","111","180","487","757","21","280","498","506","272","103","675","277.098581021992","778","30995","27000","12000","5500","0.95802099","23250","27000","277.098581021992"
"NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"NULL","0.2009","4400","7297","3250","4000","4500","5175","3549","4750","4336.5","4524.5","4500","4112","4500","4200","848","273","579","484","212","152","371","477","576","272","522","326","334","514","74.8884572487955","848","14255","9000","2041","1064","0.41252302","4400","7297","74.8884572487955"
"NULL","0.5476","5500","PrivacySuppressed","PrivacySuppressed","5500","5500","5500","5500","9500","5500","5500","5500","5500","5500","5500","124","PrivacySuppressed","PrivacySuppressed","46","39","39","99","25","70","54","89","35","51","73","PrivacySuppressed","124","9500","5500","5500","5096","PrivacySuppressed","5500","PrivacySuppressed","PrivacySuppressed"
"781","0.5462","17500","21500","7500","19000","17250","16500","17500","17091","19000","15250","17500","17250","20835","17150","621","383","241","153","169","299","585","36","281","340","361","260","72","549","220.652573776771","621","27000","23750","8250","4750","0.954225352","17500","21500","220.652573776771"
"3313","0.0404","7536","6500","11980","8647.5","6175","8550.5","7500","11000","11030","7500","6500","10986.5","7000","8000","740","453","295","328","160","252","373","367","251","489","376","364","130","610","66.7089176534426","740","31250","17515","4000","2500","0.446498055","7536","6500","66.7089176534426"
"NULL","0.5","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"34","0.4457","11250","15500","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","36","24","12","PrivacySuppressed","PrivacySuppressed","14","PrivacySuppressed","PrivacySuppressed","19","17","11","25","PrivacySuppressed","PrivacySuppressed","159.07511132744","36","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","11250","PrivacySuppressed","PrivacySuppressed"
"NULL","0.451","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","14","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","14","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"1455","0.5161","27000","27000","12000","19375","27000","27000","PrivacySuppressed","PrivacySuppressed","25000","27000","26250","27000","24000","27000","912","807","105","136","185","591","PrivacySuppressed","PrivacySuppressed","321","591","459","453","154","758","277.098581021992","912","32000","31300","17713","7500","0.95018226","27000","27000","277.098581021992"
"NULL","0.2803","4750","8300","3639","3775","4591","5500","4450","5205.5","3900","5500","4739","4813","4500","4865","2675","731","1947","1228","829","618","1619","1056","1721","954","1688","987","1176","1499","85.1821563882421","2675","15649","9400","2043","855","0.382179154","4750","8300","85.1821563882421"
"NULL","0.9459","5500","5500","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","58","41","17","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","17","41","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","11","47","56.4460072452206","58","PrivacySuppressed","6500","3250","PrivacySuppressed","PrivacySuppressed","5500","5500","56.4460072452206"
"NULL","0.6","6604","9284","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","6625","6600","45","32","13","35","PrivacySuppressed","PrivacySuppressed","12","33","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","22","23","95.2808602299325","45","PrivacySuppressed","9500","4750","PrivacySuppressed","PrivacySuppressed","6604","9284","95.2808602299325"
"NULL","0.9155","7834","9500","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","35","25","10","22","PrivacySuppressed","PrivacySuppressed","13","22","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","22","13","97.4976488781084","35","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","7834","PrivacySuppressed","PrivacySuppressed"
"906","0.8411","20250","27000","8750","20750","20500","19871","20000","24180","21500","19500","20500","20000","22250","19500","957","522","436","232","275","450","901","56","476","481","593","364","335","622","277.098581021992","957","31000","27000","8750","5500","0.973572939","20250","27000","277.098581021992"
"NULL","0.8146","20000","20000","20000","20000","20000","19000","12000","20000","20000","20000","20000","22125","20000","20000","248","92","156","100","92","56","32","216","97","151","216","32","126","122","205.258208164438","248","29500","24725","13149","8000","PrivacySuppressed","20000","20000","205.258208164438"
"673","0.6366","19493.5","25000","12000","19500","19026.5","18750","19500","19273","20833","17233","19000","20322","20562.5","18791","1142","574","572","344","306","492","821","321","540","602","922","220","272","870","256.572760205548","1142","31035","27000","10500","5250","0.949820789","19493.5","25000","256.572760205548"
"NULL","0.4898","5770","7650","3820","5770","PrivacySuppressed","PrivacySuppressed","5500","7238","6772","5051.5","PrivacySuppressed","PrivacySuppressed","6916","4455.5","107","73","35","83","12","12","39","68","85","22","PrivacySuppressed","PrivacySuppressed","67","40","78.5112646228978","107","9500","8114","3508","1984","0.870229008","5770","7650","78.5112646228978"
"2734","0.5744","19336","25000","10422","19000","20000","18750","19500","19000","21500","16132","19500","19016","20500","18606.5","6209","3278","2946","2041","1755","2413","4419","1790","3290","2919","2722","3487","2271","3938","256.572760205548","6209","35500","27000","8750","5500","0.930951943","19336","25000","256.572760205548"
"NULL","0.4688","5500","5605","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","4750","5605","44","34","13","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","11","33","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","25","19","57.5236128380839","44","PrivacySuppressed","5985.5","2993","PrivacySuppressed","PrivacySuppressed","5500","5605","57.5236128380839"
"NULL","0.3163","5500","5964","3134","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","5733","5500","59","34","25","42","PrivacySuppressed","PrivacySuppressed","14","45","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","32","27","61.2079976746356","59","PrivacySuppressed","7002","3015","PrivacySuppressed","PrivacySuppressed","5500","5964","61.2079976746356"
"169","0.4713","10956","15250","5875.5","9500","12000","14910","12000","8030","9500","14430","10190","12000","9807","12000","187","66","122","103","58","26","132","55","148","39","141","46","99","88","156.509383725384","187","25620","18500","4750","2750","0.885057471","10956","15250","156.509383725384"
"8630","0.6041","21500","24300","18750","20746","22561","21500","21500","18750","22750","20500","21988","21000","22000","21500","10264","4307","5965","2408","2565","5291","9003","1261","4453","5811","5313","4951","2257","8007","249.388722919793","10264","31000","27000","12000","5500","0.9304559","21500","24300","249.388722919793"
